重庆理工大学学报（社会科学版）,Journal of Chongqing Institute of Technology  중경리공대학학보（사회과학판）,Chong Qing Gong Ye Xue Yuan Xue Bao （ She Hui Ke Xue Ban ）
暨南学报（哲学社会科学版）,Jinan Journal  (Philosophy & Social Science Edition)  남학보（철학사회과학판）,Ji Nan Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
中国劳动关系学院学报,Journal of China Institute of Industrial Relations  중국로동관계학원학보,Zhong Guo Lao Dong Guan Xi Xue Yuan Xue Bao
南京大学学报（哲学·人文科学·社会科学）,"Journal of Nanjing University (Philosophy, Humanities and Social Sciences)  남경대학학보（철학·인문과학·사회과학）",Nan Jing Da Xue Xue Bao （ Zhe Xue · Ren Wen Ke Xue · She Hui Ke Xue ）
文物,Cultural Relics,Wen Wu
北京社会科学,Social Science of Beijing  북경사회과학,Bei Jing She Hui Ke Xue
湖南师范大学社会科学学报,Journal of Social Science of Hunan Normal University  호남사범대학사회과학학보,Hu Nan Shi Fan Da Xue She Hui Ke Xue Xue Bao
河南社会科学,Henan Social Sciences  하남사회과학,He Nan She Hui Ke Xue
云南师范大学学报（哲学社会科学版）,Journal of Yunan Normal University(Humanitles and Social Sclences)  운남사범대학학보（철학사회과학판）,Yun Nan Shi Fan Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
长白学刊,Changbai Journal  장백학간,Chang Bai Xue Kan
西南民族大学学报（人文社科版）,Journal of Southwest University for Nationalities  서남민족대학학보（인문사과판）,Xi Nan Min Zu Da Xue Xue Bao （ Ren Wen She Ke Ban ）
美国研究,American Studies Quarterly  미국구,Mei Guo Yan Jiu
东岳论丛,Dongyue Tribune  동악론총,Dong Yue Lun Cong
俄罗斯东欧中亚研究,"Russian, Central Asian & East European Studies  아라사중아동구구",E Luo Si Zhong Ya Dong Ou Yan Jiu
学习与探索,Study & Exploration  학습여탐색,Xue Xi Yu Tan Suo
江西师范大学学报（哲学社会科学版）,Journal of Jiangxi Normal University (Philosophy and Social Sciences Edition)  강서사범대학학보（철학사회과학판）,Jiang Xi Shi Fan Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
江淮论坛,Jianghuai Tribune  강회론단,Jiang Huai Lun Tan
湖湘论坛,Huxiang Forum  호상론단,Hu Xiang Lun Tan
沈阳工业大学学报（社会科学版）,Journal of Shenyang University of Technology (Social Science Edition)  심양공업대학학보（사회과학판）,Shen Yang Gong Ye Da Xue Xue Bao （She Hui Ke Xue Ban）
浙江学刊,Zhejiang Academic Journal  절강학간,Zhe Jiang Xue Kan
天津社会科学,Tianjin Social Sciences  천진사회과학,Tian Jin She Hui Ke Xue
华中科技大学学报（社会科学版）,Journal of Huazhong University of Science and Technology (Social Science Edition)  화중과기대학학보（사회과학판）,Hua Zhong Ke Ji Da Xue Xue Bao （ She Hui Ke Xue Ban ）
内蒙古农业大学学报（社会科学版）,Journal of Inner Mongolia Agricultural University (Social Science Edition)  내몽고농업대학학보（사회과학판）,Nei Meng Gu Nong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
四川师范大学学报（社会科学版）,Journal of Sichuan Normal University (Social Sciences Edition)  사천사범대학학보（사회과학판）,Si Chuan Shi Fan Da Xue Xue Bao （ She Hui Ke Xue Ban ）
南京师大学报（社会科学版）,Journal of Nanjing Normal University (Social Science Edition）  남경사대학보（사회과학판）,Nan Jing Shi Da Xue Bao （ She Hui Ke Xue Ban ）
云南民族大学学报（哲学社会科学版）,Journal of Yunnan Nationalities University  (Social Sciences Edition)  운남민족대학학보（철학사회과학판）,Yun Nan Min Zu Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
民俗研究,Folklore Studies  민속구,Min Su Yan Jiu
老龄科学研究,Scientific Research on Aging,Lao Ling Ke Xue Yan Jiu
复旦学报（社会科学版）,Fudan Journal (Social Sciences Edition)  복단학보（사회과학판）,Fu Dan Xue Bao （ She Hui Ke Xue Ban ）
苏州大学学报（社会科学版）,Journal of Soochow University（Philosopy and social science Edition）  소주대학학보（철학사회과학판）,Su Zhou Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
东南学术,Southeast Academic Research  동남학술,Dong Nan Xue Shu
沈阳大学学报（自然科学版）,Journal of Shenyang University(Natural Science)  심양대학학보,Shen Yang Da Xue Xue Bao
深圳大学学报（人文社会科学版）,Journal of Shenzhen University (Humanities & Social Sciences)  심대학학보（인문사회과학판）,Shen Zhen Da Xue Xue Bao （ Ren Wen She Hui Ke Xue Ban ）
阿拉伯世界研究,Arab World Studies  아랍백세계구,A La Bo Shi Jie Yan Jiu
厦门大学学报（哲学社会科学版）,Journal of Xiamen University (Arts & Social Sciences)  하문대학학보（철학사회과학판）,Xia Men Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
求是学刊,Seeking Truth  구시학간,Qiu Shi Xue Kan
学术研究,Academic Research  학술구,Xue Shu Yan Jiu
上海交通大学学报（哲学社会科学版）,Journal of Shanghai Jiaotong University (Philosophy and Social Sciences)  상해교통대학학보（철학사회과학판）,Shang Hai Jiao Tong Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
华南理工大学学报（社会科学版）,Journal of South China University of Technology (Social Science Edition)  화남리공대학학보（사회과학판）,Hua Nan Li Gong Da Xue Xue Bao （ She Hui Ke Xue Ban ）
国外社会科学,Social Sciences Abroad  국외사회과학,Guo Wai She Hui Ke Xue
湖北社会科学,Hubei Social Sciences  호북사회과학,Hu Bei She Hui Ke Xue
河北学刊,Hebei Academic Journal  하북학간,He Bei Xue Kan
统计与决策,Statistics and Decision  통계여결책,Tong Ji Yu Jue Ce
重庆社会科学,Chongqing Social Sciences,Chong Qing She Hui Ke Xue
江西社会科学,Jiangxi Social Sciences  강서사회과학,Jiang Xi She Hui Ke Xue
文史哲,"Journal of Literature, History and Philosophy  문사철",Wen Shi Zhe
河南大学学报（社会科学版）,Journal of Henan University (Social Science)  하남대학학보（사회과학판）,He Nan Da Xue Xue Bao （ She Hui Ke Xue Ban ）
甘肃社会科学,Gansu Social Sciences  감숙사회과학,Gan Su She Hui Ke Xue
广西师范学院学报（哲学社会科学版）,Journal of Guangxi Teachers Education University (Philosophy and Social Sciences Edition)  광서사범학원학보（철학사회과학판）,Guang Xi Shi Fan Xue Yuan Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
上海师范大学学报（哲学社会科学版）,Journal of Shanghai Normal University (Philosophy & Social Sciences)  상해사범대학학보（철학사회과학판）,Shang Hai Shi Fan Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
社会科学辑刊,Social Science Journal,She Hui Ke Xue Ji Kan
和平与发展,Peace and Development  화평여발전,He Ping Yu Fa Zhan
南京工业大学学报（社会科学版）,Journal of Nanjing Tech University(Social Science Edition)  남경공업대학학보（사회과학판）,Nan Jing Gong Ye Da Xue Xue Bao （ She Hui Ke Xue Ban ）
湖南科技大学学报（社会科学版）,Journal of Hunan University of Science & Technology (Social Science Edition)  호남과기대학학보（사회과학판）,Hu Nan Ke Ji Da Xue Xue Bao （ She Hui Ke Xue Ban ）
