应用泛函分析学报,Acta Analysis Functionalis Applicata  응용범함분석학보,Ying Yong Fan Han Fen Xi Xue Bao
应用数学学报（英文版）,Acta Mathematicae Applicatae Sinica,Ying Yong Shu Xue Xue Bao （ Ying Wen Ban ）
数学研究,Journal of Mathematical Study  수학구,Shu Xue Yan Jiu
动物学报（英文版）,Current Zoology  동물학보（영문판）,Dong Wu Xue Bao
发现,Faxian,Fa Xian （Jiao Yu Ban）
中国科技成果,China Science and Technology Achievements  중국과기성과,Zhong Guo Ke Ji Cheng Guo
数学季刊（英文版）,Chinese Quarterly Journal of Mathematics  수학계간（영문판）,Shu Xue Ji Kan （ Ying Wen Ban ）
科技纵览
资源导刊,Ziyuan Daokan  자원도간,Zi Yuan Dao Kan
中国地震研究（英文版）,Earthquake Research in China  중국지진구（영문판）,Zhong Guo Di Zhen Yan Jiu （ Ying Wen Ban ）
数学年刊B辑（英文版）,"Chinese Annals of Mathematics,Series B  수학년간B집（영문판）",Shu Xue Nian Kan B Ji （ Ying Wen Ban ）
生命世界,Life World,Sheng Ming Shi Jie
偏微分方程（英文版）,Journal of Partial Differential Equations,Pian Wei Fen Fang Cheng （ Ying Wen Ban ）
地球与行星物理论评,Reviews of Geophysiscs and Planetary Physics,Shi Jie Di Zhen Yi Cong
生物学前沿,Frontiers in Biology
知识就是力量,Knowledge is Power  지식취시력량,Zhi Shi Jiu Shi Li Liang
大自然,China Nature  대자연,Da Zi Ran
分析、理论与应用（英文版）,Analysis in Theory and Applications  분석리론여응용（영문판）,Fen Xi 、 Li Lun Yu Ying Yong （ Ying Wen Ban ）
资源导刊·信息化测绘版,Resources Guide·Informative Surveying
空间碎片研究
科学大众（中学生）,Popular Science  과학대（중학판）,Ke Xue Da Zhong （ Zhong Xue Ban ）
广西师范学院学报（自然科学版）,Journal of Guangxi Teachers Education University(Natural Science Edition)  광서사범학원학보（자연과학판）,Guang Xi Shi Fan Xue Yuan Xue Bao （ Zi Ran Ke Xue Ban ）
